INFO:tensorflow:loss = 0.466144, 8201, 0.921875 ,29.143 sec)
INFO:tensorflow:loss = 0.421182, 8301, 0.90625 ,30.215 sec)
INFO:tensorflow:loss = 0.595376, 8401, 0.867188 ,29.003 sec)
INFO:tensorflow:loss = 0.509299, 8501, 0.90625 ,29.557 sec)
INFO:tensorflow:loss = 0.563445, 8601, 0.867188 ,28.949 sec)
INFO:tensorflow:loss = 0.549578, 8701, 0.882812 ,29.666 sec)
INFO:tensorflow:loss = 0.582383, 8801, 0.851562 ,28.908 sec)
INFO:tensorflow:loss = 0.518201, 8901, 0.890625 ,28.915 sec)
INFO:tensorflow:loss = 0.449925, 9001, 0.914062 ,29.665 sec)
INFO:tensorflow:loss = 0.638874, 9101, 0.835938 ,29.019 sec)
INFO:tensorflow:loss = 0.658669, 9201, 0.84375 ,29.661 sec)
INFO:tensorflow:loss = 0.481516, 9301, 0.914062 ,28.992 sec)
INFO:tensorflow:loss = 0.53946, 9401, 0.882812 ,29.096 sec)
INFO:tensorflow:loss = 0.56075, 9501, 0.882812 ,29.066 sec)
INFO:tensorflow:loss = 0.557198, 9601, 0.882812 ,28.959 sec)
INFO:tensorflow:loss = 0.682724, 9701, 0.828125 ,29.553 sec)
INFO:tensorflow:loss = 0.52839, 9801, 0.882812 ,28.936 sec)
INFO:tensorflow:loss = 0.425808, 9901, 0.945312 ,29.630 sec)
INFO:tensorflow:loss = 0.494202, 10001, 0.898438 ,28.982 sec)
INFO:tensorflow:loss = 0.629335, 10101, 0.84375 ,29.025 sec)
INFO:tensorflow:loss = 0.484991, 10201, 0.914062 ,29.722 sec)
INFO:tensorflow:loss = 0.424215, 10301, 0.921875 ,29.793 sec)
INFO:tensorflow:loss = 0.511019, 10401, 0.90625 ,29.582 sec)
INFO:tensorflow:loss = 0.509583, 10501, 0.875 ,28.935 sec)
INFO:tensorflow:loss = 0.483565, 10601, 0.867188 ,29.222 sec)
INFO:tensorflow:loss = 0.426469, 10701, 0.929688 ,29.023 sec)
INFO:tensorflow:loss = 0.627639, 10801, 0.851562 ,28.956 sec)
INFO:tensorflow:loss = 0.517391, 10901, 0.914062 ,29.581 sec)
INFO:tensorflow:loss = 0.405852, 11001, 0.921875 ,28.933 sec)
INFO:tensorflow:loss = 0.476222, 11101, 0.890625 ,29.535 sec)
INFO:tensorflow:loss = 0.412238, 11201, 0.929688 ,28.878 sec)
INFO:tensorflow:loss = 0.42299, 11301, 0.929688 ,29.017 sec)
INFO:tensorflow:loss = 0.425904, 11401, 0.914062 ,29.454 sec)
INFO:tensorflow:loss = 0.493397, 11501, 0.890625 ,28.971 sec)
INFO:tensorflow:loss = 0.449293, 11601, 0.90625 ,29.261 sec)
INFO:tensorflow:loss = 0.446047, 11701, 0.945312 ,28.959 sec)
INFO:tensorflow:loss = 0.465806, 11801, 0.921875 ,29.273 sec)
INFO:tensorflow:loss = 0.517277, 11901, 0.890625 ,29.069 sec)
INFO:tensorflow:loss = 0.449956, 12001, 0.90625 ,28.959 sec)
INFO:tensorflow:loss = 0.522327, 12101, 0.898438 ,29.265 sec)
INFO:tensorflow:loss = 0.518078, 12201, 0.90625 ,29.002 sec)
INFO:tensorflow:loss = 0.408714, 12301, 0.953125 ,29.445 sec)
INFO:tensorflow:loss = 0.442036, 12401, 0.929688 ,29.592 sec)
INFO:tensorflow:loss = 0.508332, 12501, 0.890625 ,29.092 sec)
INFO:tensorflow:loss = 0.51915, 12601, 0.882812 ,29.562 sec)
INFO:tensorflow:loss = 0.438562, 12701, 0.9375 ,28.995 sec)
INFO:tensorflow:loss = 0.432628, 12801, 0.921875 ,29.209 sec)
INFO:tensorflow:loss = 0.480003, 12901, 0.875 ,29.063 sec)
INFO:tensorflow:loss = 0.477435, 13001, 0.914062 ,29.229 sec)
INFO:tensorflow:loss = 0.517897, 13101, 0.867188 ,29.015 sec)
INFO:tensorflow:loss = 0.523682, 13201, 0.882812 ,29.020 sec)
INFO:tensorflow:loss = 0.492408, 13301, 0.90625 ,29.451 sec)
INFO:tensorflow:loss = 0.540798, 13401, 0.851562 ,28.938 sec)
INFO:tensorflow:loss = 0.471063, 13501, 0.875 ,29.277 sec)
INFO:tensorflow:loss = 0.524061, 13601, 0.898438 ,29.024 sec)
INFO:tensorflow:loss = 0.459332, 13701, 0.929688 ,29.046 sec)
INFO:tensorflow:loss = 0.492842, 13801, 0.921875 ,29.406 sec)
INFO:tensorflow:loss = 0.467955, 13901, 0.914062 ,29.015 sec)
INFO:tensorflow:loss = 0.507729, 14001, 0.898438 ,29.243 sec)
INFO:tensorflow:loss = 0.524938, 14101, 0.898438 ,28.895 sec)
INFO:tensorflow:loss = 0.58197, 14201, 0.867188 ,29.347 sec)
INFO:tensorflow:loss = 0.542542, 14301, 0.867188 ,28.947 sec)
INFO:tensorflow:loss = 0.612457, 14401, 0.875 ,29.690 sec)
INFO:tensorflow:loss = 0.39241, 14501, 0.929688 ,29.356 sec)
INFO:tensorflow:loss = 0.545005, 14601, 0.890625 ,28.935 sec)
INFO:tensorflow:loss = 0.43174, 14701, 0.921875 ,29.653 sec)
INFO:tensorflow:loss = 0.425417, 14801, 0.90625 ,28.910 sec)
INFO:tensorflow:loss = 0.486351, 14901, 0.90625 ,29.161 sec)
INFO:tensorflow:loss = 0.490215, 15001, 0.898438 ,29.080 sec)
INFO:tensorflow:loss = 0.577488, 15101, 0.882812 ,28.848 sec)
INFO:tensorflow:loss = 0.462452, 15201, 0.859375 ,29.396 sec)
INFO:tensorflow:loss = 0.516219, 15301, 0.90625 ,28.968 sec)
INFO:tensorflow:loss = 0.405319, 15401, 0.90625 ,29.149 sec)
INFO:tensorflow:loss = 0.50822, 15501, 0.914062 ,28.907 sec)
INFO:tensorflow:loss = 0.508186, 15601, 0.867188 ,28.958 sec)
INFO:tensorflow:loss = 0.368738, 15701, 0.953125 ,29.474 sec)
INFO:tensorflow:loss = 0.503733, 15801, 0.875 ,28.925 sec)
INFO:tensorflow:loss = 0.547333, 15901, 0.882812 ,29.499 sec)
INFO:tensorflow:loss = 0.452623, 16001, 0.898438 ,28.856 sec)
INFO:tensorflow:loss = 0.460515, 16101, 0.90625 ,29.010 sec)
INFO:tensorflow:loss = 0.555453, 16201, 0.921875 ,29.199 sec)
INFO:tensorflow:loss = 0.487976, 16301, 0.914062 ,29.003 sec)
INFO:tensorflow:loss = 0.452935, 16401, 0.90625 ,29.213 sec)
INFO:tensorflow:loss = 0.45456, 16501, 0.929688 ,29.578 sec)
INFO:tensorflow:loss = 0.411285, 16601, 0.921875 ,29.254 sec)
INFO:tensorflow:loss = 0.405905, 16701, 0.929688 ,28.868 sec)
INFO:tensorflow:loss = 0.46644, 16801, 0.90625 ,28.943 sec)
INFO:tensorflow:loss = 0.450766, 16901, 0.929688 ,29.244 sec)
INFO:tensorflow:loss = 0.440598, 17001, 0.914062 ,28.899 sec)
INFO:tensorflow:loss = 0.391078, 17101, 0.929688 ,29.524 sec)
INFO:tensorflow:loss = 0.364087, 17201, 0.953125 ,28.922 sec)
INFO:tensorflow:loss = 0.583081, 17301, 0.890625 ,29.130 sec)
INFO:tensorflow:loss = 0.410609, 17401, 0.945312 ,29.142 sec)
INFO:tensorflow:loss = 0.482434, 17501, 0.890625 ,28.820 sec)
INFO:tensorflow:loss = 0.556031, 17601, 0.890625 ,29.196 sec)
INFO:tensorflow:loss = 0.536023, 17701, 0.90625 ,28.898 sec)
INFO:tensorflow:loss = 0.417436, 17801, 0.929688 ,29.325 sec)
INFO:tensorflow:loss = 0.566024, 17901, 0.882812 ,28.885 sec)
INFO:tensorflow:loss = 0.461275, 18001, 0.90625 ,28.894 sec)
INFO:tensorflow:loss = 0.535355, 18101, 0.898438 ,29.242 sec)
INFO:tensorflow:loss = 0.439962, 18201, 0.921875 ,28.936 sec)
INFO:tensorflow:loss = 0.413378, 18301, 0.9375 ,29.593 sec)
INFO:tensorflow:loss = 0.412616, 18401, 0.929688 ,29.021 sec)
INFO:tensorflow:loss = 0.393224, 18501, 0.9375 ,30.384 sec)
INFO:tensorflow:loss = 0.550768, 18601, 0.898438 ,29.102 sec)
INFO:tensorflow:loss = 0.403503, 18701, 0.945312 ,29.002 sec)
